ID,Producto,Segmento,Categoría,Subcategoría,Tipo de cliente,Destino / uso,Tipo de crédito,Monto mínimo MXN,Monto máximo MXN,Financiamiento máx. %,Enganche mín. %,Plazo mín. meses,Plazo máx. meses,Tipo de tasa,Tasa desde % anual,CAT promedio %,Comisión principal,Moneda,¿Requiere ser cliente Banorte?,¿Requiere Nómina Banorte?,Ingreso mínimo mensual MXN,Edad mínima,Edad máxima,Antigüedad negocio mín. años,Historial crediticio,Garantía / aval,Documentos / requisitos principales,Beneficios clave,Pago anticipado,Seguros,Canales de contratación,Perfil objetivo,Variables útiles para recomendación,Estado del dato,Vigencia de tasas/CAT,Fuente oficial
PY001,Crediactivo Simple,PyME,PyME,Crédito simple,PFAE / Persona Moral,"Activo fijo, remodelación, ampliación y capital de trabajo",Crédito simple,,30000000.0,,,12.0,60.0,Fija o variable,,,Consultar; depende de monto/programa,MXN,,,,,,2.0,Sujeto a Buró y evaluación,Obligado solidario con bien inmueble libre de gravamen; en plazos largos puede requerir garantía hipotecaria,Solicitud-contrato; identificaciones; estados de cuenta; estados financieros para montos >$8M; programa de inversión; boleta predial; documentos societarios,Hasta $30M; MXN o USD si hay ingresos en USD; 12-60 meses; hasta 10 años con garantía hipotecaria,Depende del programa,,Ejecutivo PyME / crédito en línea,PyME con proyecto de inversión o necesidad de capital de trabajo estructurada,ventas_anuales; flujo_caja; antiguedad_negocio; score_buro; activos; destino_credito; moneda_ingresos,Vigente / página oficial activa,,https://www.banorte.com/PyME/Financiamiento/Crediactivo-Simple
PY002,Crediactivo Cuenta Corriente,PyME,PyME,Cuenta corriente revolvente,PFAE / Persona Moral,"Capital de trabajo, nómina, impuestos, proveedores, imprevistos",Crédito revolvente / cuenta corriente,,30000000.0,,,12.0,36.0,Variable,,,,MXN,,,,,,2.0,Sujeto a Buró y evaluación,Obligado solidario; garantía hipotecaria en ciertos montos/plazos,Solicitud; identificaciones; estados de cuenta; estados financieros si >$8M; documentos fiscales/societarios,Paga intereses sólo por monto y días usados; disposición y pagos por banca electrónica; MXN o USD,Revolvente; pagos liberan disponibilidad,,Ejecutivo PyME / banca electrónica,Negocio con necesidades recurrentes y variables de capital de trabajo,ventas; flujo_caja; estacionalidad; saldo_promedio; antiguedad_negocio; uso_linea; score_buro,Vigente / página oficial activa,,https://www.banorte.com/PyME/Financiamiento/Crediactivo-Cuenta-Corriente
PY003,Crédito Negocios y Empresas,PyME,PyME,Línea revolvente para capital de trabajo,PFAE / Persona Moral,Capital de trabajo,Crédito revolvente,30000.0,3000000.0,,,,12.0,Variable / según oferta,,,,MXN,,,,,,2.0,Autorización de Buró; sujeto a aprobación,Para ciertos montos puede requerir soporte inmobiliario / obligado solidario,Solicitud-contrato; RFC/alta; identificación; estados de cuenta; documentos societarios; comprobante domicilio; boleta predial cuando aplique,Renovación anual automática; disposición 24/7; evaluación simplificada por rangos; línea hasta $3M,Revolvente,,Sucursal / Banca Electrónica,PyME con operación recurrente y necesidad flexible de capital de trabajo,ventas_anuales; saldo_promedio; antiguedad_negocio; score_buro; flujo_operativo,Vigente / página oficial activa,,https://www.banorte.com/PyME/Financiamiento/Credito-Negocios-y-Empresas
PY004,Crédito PyME en Línea,PyME,PyME,Crédito simple o revolvente digital,PFAE / Persona Moral,Capital de trabajo e inversión PyME,Simple hasta 60 meses / revolvente 12 meses,200000.0,8000000.0,,,12.0,60.0,Fija (simple) o variable (simple/revolvente),,,,MXN,,,,,,2.0,Antecedentes crediticios favorables,No requiere garantía hipotecaria; solicitante/OS debe contar con bien inmueble,Identificación; constancia fiscal; acta constitutiva si PM; estados de cuenta bancarios,Trámite en línea con preaprobación; no exige estados financieros/declaraciones para evaluación base; MXN,Consultar condiciones,,En línea,PyME formal con flujos bancarios comprobables que busca trámite rápido,ventas; transaccionalidad_bancaria; antiguedad_negocio; score_buro; flujo_caja,Vigente / página oficial activa,,https://www.banorte.com/PyME/Financiamiento/Credito-PyME-en-linea
PY005,MicroApoyo,PyME,PyME,Microcrédito empresarial,PFAE bajo RIF (según página oficial),Capital de trabajo,Crédito simple sin garantía real,30000.0,300000.0,,,12.0,48.0,Fija o variable,,,,MXN,,,15000.0,25.0,65.0,,Sujeto a aprobación,Cliente u obligado solidario debe contar con bien raíz libre de gravamen; no se hipoteca,Estados de cuenta de 6 meses; documentación fiscal e identificación,Microfinanciamiento para negocio; no requiere estados financieros; hasta 4 años,Puede cobrar comisión por prepago,,Sucursal,Microempresario formal elegible al régimen indicado en la página,ingreso_negocio; ventas_anuales; regimen_fiscal; antiguedad_negocio; score_buro,"Producto vigente en menú 2026; CAT localizado tenía vigencia expirada, por lo que no se usa como dato actual",,https://www.banorte.com/PyME/Financiamiento/MicroApoyo
PY006,Crediactivo Mujer PyME,PyME,PyME,Crédito simple / cuenta corriente con beneficios Mujer PyME,PFAE mujer / PM con >=51% participación accionaria de mujeres,Capital de trabajo o inversión,Crédito simple o cuenta corriente,200000.0,8000000.0,,,,60.0,Fija o variable preferencial,,,,MXN,,,,,,,Sujeto a evaluación,"Posibilidad de exceptuar bien raíz: cuenta corriente hasta $3M y simple hasta $8M, sujeto a condiciones",Identificación; comprobantes domicilio; constancia fiscal; estados de cuenta 6 meses; actas societarias para PM,Tasa/comisión preferenciales; evaluación por estados de cuenta; beneficios integrales Mujer PyME,Según modalidad,,Sucursal / Ejecutivo PyME,Negocio liderado o mayoritariamente propiedad de mujeres,sexo_propietario/participacion_mujeres; ventas; flujo_caja; antiguedad_negocio; score_buro,Vigente / página oficial activa,,https://www.banorte.com/Pyme/Soluciones-Integrales/Mujer-PyME.html
EM001,Crédito de Habilitación o Avío,Empresas,Empresarial,Corto plazo especializado,"Empresa sectores agropecuario, ganadero, forestal o pesquero","Materias primas, materiales, salarios y gastos directos del ciclo operativo",Habilitación o avío,,,,,,,,,,,MXN,,,,,,,Sujeto a evaluación,Según operación,Expediente empresarial definido por ejecutivo,Financia ciclo operativo sin descapitalizar,Según contrato,,Ejecutivo Banca Empresarial/Corporativa,Empresa primaria/agroindustrial con necesidades del ciclo productivo,sector; ciclo_operativo; ventas; flujo_caja; estacionalidad; garantías,Vigente / página oficial activa,,https://www.banorte.com/Empresas/Financiamiento/Credito-Corto-Plazo/Credito-de-Habilitacion-o-Avio.html
EM002,Crédito en Línea,Empresas,Empresarial,Línea revolvente digital,Empresa,Capital de trabajo y liquidez operativa,Línea de crédito revolvente,,,,,,,,,,,MXN,,,,,,,Sujeto a evaluación,Según aprobación,Expediente empresarial; condiciones definidas por ejecutivo,"Disposición, pago y consulta en tiempo real por Banorte en su Empresa (BEM)",Revolvente,,Ejecutivo Banca Empresarial / BEM,Empresa que requiere disposición recurrente y digital de crédito,ventas; flujo_caja; saldo_promedio; frecuencia_necesidad; score_empresa,Vigente / página oficial activa,,https://www.banorte.com/Empresas/Financiamiento/Credito-Corto-Plazo/Credito-en-linea
EM003,Crédito para Capital de Trabajo,Empresas,Empresarial,Capital de trabajo,Empresa,Necesidades directamente relacionadas con operación,Crédito revolvente,,,,,,,,,,,MXN,,,,,,,Sujeto a evaluación,Según operación,Expediente empresarial definido por ejecutivo,Revolvencia para no descapitalizar el ciclo operativo; plazos definidos por contrato,Revolvente,,Ejecutivo Banca Empresarial/Corporativa,Empresa con desfases de cobro/pago o necesidades recurrentes de operación,capital_trabajo_neto; ciclo_conversion_efectivo; ventas; cuentas_cobrar; inventario,Vigente / página oficial activa,,https://www.banorte.com/Empresas/Financiamiento/Credito-Corto-Plazo/Credito-para-capital-de-trabajo.html
EM004,Línea T + 1,Empresas,Empresarial,Disponibilidad inmediata de cheques,Empresa,Disponer el mismo día de cheques de otros bancos,Línea de servicio/crédito de corto plazo,,,,,,,,,,,MXN,,,,,,,Requiere reporte de Buró,Avalista cuando aplique,Carta solicitud; Buró; estados financieros parciales; escritura constitutiva; alta SHCP; cédula fiscal,Liquidez inmediata sobre cheques nacionales o extranjeros,Naturaleza de corto plazo,,Ejecutivo Empresarial/Corporativo,Empresa que recibe pagos en cheque y necesita disponibilidad inmediata,volumen_cheques; dias_cobranza; liquidez; historial_crediticio; facturacion,Vigente / página oficial activa,,https://acceso24.banorte.com/wps/portal/empresas/Home/empresas-corporativos/financiamiento/credito-corto-plazo/emp-fina-credito-corto-plazo.lineat1/
EM005,Línea de Sobregiro Empresarial,Empresas,Empresarial,Sobregiro,Empresa afiliada / elegible,Necesidades inmediatas de capital de trabajo,Línea de sobregiro,,,,,,,,,,,MXN,,,,,,,Sujeto a evaluación,No requiere aval ni garantía según producto,Trámite con ejecutivo,Flexibilidad; monto definido con base en facturación; fondos disponibles según necesidad,Corto plazo / liquidación operativa,,Ejecutivo Empresarial/Corporativo,Empresa con ventas regulares y faltantes temporales de caja,facturacion; saldo_promedio; flujo_diario; sobregiros_previos; liquidez,Vigente / página oficial activa,,https://www.banorte.com/Empresas/Financiamiento/Credito-Corto-Plazo/Linea-de-sobregiro.html
EM006,Crédito Refaccionario,Empresas,Empresarial,Largo plazo / activo fijo,Empresa,Compra o sustitución de maquinaria y equipo / activos fijos,Crédito refaccionario,,,,,,60.0,,,,,MXN,,,,,,,Sujeto a análisis,Activos/garantías según estructura,Expediente empresarial con ejecutivo,Financia activos productivos sin descapitalizar; plazo hasta 5 años,Según contrato,,Ejecutivo Banca Empresarial,Empresa que necesita modernizar o ampliar capacidad productiva,capex; vida_activos; flujo_proyecto; ventas; margen_operativo; garantía,Vigente / página oficial activa,,https://www.banorte.com/Empresas/Financiamiento/Credito-a-largo-plazo/Credito-Refaccionario.html
EM007,Proyectos Inmobiliarios / Crédito Puente,Empresas,Empresarial,Desarrollo inmobiliario,PFAE desarrollador / Persona Moral,Construcción y desarrollo de vivienda,Crédito puente inmobiliario,,,80.0,,,24.0,,,,,MXN,,,,,,,Sujeto a evaluación técnica y financiera,Proyecto/inmueble y estructura definida por banco,"Expediente del desarrollador, experiencia, proyecto, costos, permisos y estados financieros según evaluación",Hasta 80% del valor total del proyecto; ministraciones conforme avance; apoyo para individualización,Amortización ligada a individualización,,Ejecutivo Empresarial/Corporativo,Desarrollador con experiencia y proyecto viable,experiencia_desarrollador; costo_proyecto; preventas; margen; avance_obra; garantías,Vigente / página oficial activa,,https://www.banorte.com/Empresas/Financiamiento/Credito-a-largo-plazo/Proyectos-Inmobiliarios
EM008,Plan Piso Auto,Empresas,Empresarial,Inventario automotriz,Distribuidor/concesionario automotriz,"Financiar inventario de autos, demostradores y camiones nuevos hasta 8 toneladas",Línea revolvente / plan piso,,,,,,36.0,Variable / TIIE + margen según evaluación,,,,MXN,,,,,,,Sujeto a evaluación,Prendaria sin transmisión sobre unidades; puede requerir OS/hipoteca,Acta constitutiva; poderes; IDs; RFC; estados financieros 3 años; financieros internos; proyecciones; póliza Plan Piso,Contrato hasta 3 años; disposiciones hasta 180 días + posible extensión; monitoreo 24/7,Capital al vencimiento de disposición o tras venta de unidad,Seguro Plan Piso con endoso preferente a Banorte,Ejecutivo especializado,Concesionario que necesita financiar inventario,ventas_unidades; rotacion_inventario; margen; relación_armadora; flujo; garantías,Vigente / página oficial activa,,https://acceso24.banorte.com/wps/portal/empresas/Home/empresas-corporativos/financiamiento/plan-piso-auto
